id,question,category
1,Do you feel sad or empty most of the time?,Depression
2,Do you feel nervous or anxious frequently?,Anxiety
3,Do you experience sudden mood changes?,Bipolar
4,Do you have trouble sleeping or concentrating?,Depression
5,Do you feel detached from reality?,Schizophrenia
6,Do you worry excessively about things?,Anxiety
7,Do you feel guilt or worthlessness?,Depression
8,Do you hear or see things that others don’t?,Schizophrenia
9,Do you have extreme highs and lows in energy?,Bipolar
10,Do you avoid social activities or people?,Anxiety
11,Do you obsess over food or body weight?,Eating Disorder
12,Do you forget things frequently?,Dementia
13,Do you feel disoriented or confused often?,Dementia
14,Do you have difficulty controlling your eating habits?,Eating Disorder
15,Do you experience hallucinations or strange beliefs?,Schizophrenia
16,Do you feel hopeless or helpless?,Depression
17,Do you feel restless or tense often?,Anxiety
18,Do you act impulsively or have racing thoughts?,Bipolar
